Date (DD/MM/YYYY),Time (24 hrs XX:XX),Sampling point,Ambient temperature (°C),Ambient humidity,Sample temperature (°C),pH,"EC
(µS/cm)","TDS
(mg/L)","TSS
(mL sed/L)","DO
(mg/L)",Level (cm),Turbidity (NTU),"Hardness
(mg CaCO3/L)",Hardness classification,"Total Cl-
(mg Cl-/L)"
05/07/2023,15:35,Arroyo_Las Torres,18.0,0.6,18.2,8.1,1000,490,50.0,4.97,28.0,238.0,135.0,BLANDA,79.0
05/07/2023,15:45,Puente Irigoyen,18.0,0.6,18.2,8.2,1310,640,64.0,1.71,48.0,95.6,135.0,BLANDA,120.0
05/07/2023,15:45,Puente Irigoyen,18.0,0.6,18.1,8.1,1320,650,64.0,0.97,48.0,109.0,130.0,BLANDA,116.0
05/07/2023,15:55,Arroyo Salguero,18.0,0.6,18.4,8.0,750,370,26.0,4.65,25.0,11.6,155.0,SEMIDURA,50.0
05/07/2023,15:55,Arroyo Salguero,18.0,0.6,18.4,8.0,750,370,26.0,4.84,25.0,13.5,159.0,SEMIDURA,48.0
05/07/2023,16:10,Puente Falbo,18.0,0.6,18.4,8.1,1350,670,56.0,1.29,35.0,93.8,143.0,BLANDA,118.0
05/07/2023,16:10,Puente Falbo,18.0,0.6,18.4,8.1,1340,660,56.0,1.45,35.0,159.0,147.0,BLANDA,120.0
07/07/2023,14:45,Puente Bilbao,14.3,0.54,21.0,8.1,1370,680,56.0,3.6,25.0,199.0,106.0,BLANDA,118.0
07/07/2023,14:45,Puente Bilbao,14.3,0.54,25.5,8.1,1400,690,56.0,1.87,25.0,220.0,110.0,BLANDA,120.0
07/07/2023,15:05,Puente Irigoyen,14.3,0.54,16.1,8.2,1220,600,76.0,2.27,48.0,114.0,155.0,SEMIDURA,114.0
07/07/2023,15:05,Puente Irigoyen,14.3,0.54,28.1,8.1,1360,670,76.0,2.35,48.0,113.0,159.0,SEMIDURA,116.0
07/07/2023,15:15,Arroyo Salguero,14.3,0.54,15.1,8.3,890,440,14.0,5.16,43.0,20.0,196.0,SEMIDURA,54.0
07/07/2023,15:15,Arroyo Salguero,14.3,0.54,27.5,8.2,1000,490,14.0,5.27,43.0,46.5,192.0,SEMIDURA,56.0
07/07/2023,15:25,Puente Falbo,14.3,0.54,20.0,8.1,1450,720,14.0,1.48,45.0,85.4,167.0,SEMIDURA,109.0
07/07/2023,15:25,Puente Falbo,14.3,0.54,25.1,8.1,1370,680,14.0,1.32,45.0,123.0,163.0,SEMIDURA,112.0
02/08/2023,14:25,Arroyo_Las Torres,26.0,0.87,18.1,8.4,1400,690,80.0,3.59,35.0,221.0,183.0,SEMIDURA,124.0
02/08/2023,14:35,Puente Irigoyen,26.0,0.87,18.3,8.0,1380,680,50.0,1.56,55.0,158.0,143.0,BLANDA,107.0
02/08/2023,14:35,Puente Irigoyen,26.0,0.87,18.3,8.0,1340,660,50.0,2.0,55.0,209.0,147.0,BLANDA,107.0
02/08/2023,14:45,Arroyo Salguero,26.0,0.87,18.3,8.2,1020,500,70.0,4.3,30.0,21.9,212.0,SEMIDURA,68.0
02/08/2023,14:45,Arroyo Salguero,26.0,0.87,18.2,8.2,1040,510,70.0,4.02,30.0,65.0,216.0,SEMIDURA,70.0
02/08/2023,14:55,Puente Falbo,26.0,0.87,18.2,8.1,1440,710,64.0,1.93,50.0,123.0,179.0,SEMIDURA,124.0
02/08/2023,14:55,Puente Falbo,26.0,0.87,18.2,8.1,1450,720,64.0,1.84,50.0,148.0,175.0,SEMIDURA,120.0
08/08/2023,14:55,Puente Irigoyen,13.4,0.56,15.4,8.3,1550,770,40.0,1.11,55.0,62.7,222.0,SEMIDURA,133.0
08/08/2023,14:55,Puente Irigoyen,13.4,0.56,15.8,8.3,1510,750,40.0,0.73,55.0,67.4,222.0,SEMIDURA,133.0
08/08/2023,15:05,Arroyo Salguero,13.4,0.56,15.6,8.2,1140,570,36.0,2.74,30.0,5.47,316.0,SEMIDURA,64.0
08/08/2023,15:05,Arroyo Salguero,13.4,0.56,15.8,8.2,1150,560,36.0,2.44,30.0,22.7,316.0,SEMIDURA,64.0
08/08/2023,15:20,Puente Falbo,13.4,0.56,15.5,8.2,1420,700,66.0,0.88,45.0,66.0,257.0,SEMIDURA,100.0
08/08/2023,15:20,Puente Falbo,13.4,0.56,15.9,8.2,1480,730,66.0,1.3,45.0,87.2,257.0,SEMIDURA,100.0
15/08/2023,15:00,Arroyo_Las Torres,23.0,0.36,21.2,8.5,1430,710,76.0,5.22,30.0,147.0,257.0,SEMIDURA,112.0
15/08/2023,15:00,Arroyo_Las Torres,23.0,0.36,21.1,8.5,1410,700,76.0,4.25,30.0,150.0,257.0,SEMIDURA,112.0
15/08/2023,15:10,Puente Irigoyen,23.0,0.36,21.3,8.1,1690,840,84.0,0.63,55.0,160.0,222.0,SEMIDURA,145.0
15/08/2023,15:10,Puente Irigoyen,23.0,0.36,21.2,8.1,1670,830,84.0,0.75,55.0,154.0,222.0,SEMIDURA,145.0
15/08/2023,15:20,Arroyo Salguero,23.0,0.36,21.4,8.2,1120,550,2.0,2.68,45.0,4.52,293.0,SEMIDURA,64.0
15/08/2023,15:20,Arroyo Salguero,23.0,0.36,21.3,8.1,1100,540,2.0,1.75,45.0,4.91,293.0,SEMIDURA,64.0
15/08/2023,15:30,Puente Falbo,23.0,0.36,21.4,8.1,1500,740,50.0,0.26,45.0,116.0,257.0,SEMIDURA,99.0
15/08/2023,15:30,Puente Falbo,23.0,0.36,21.3,8.0,1440,710,50.0,0.25,45.0,38.5,257.0,SEMIDURA,99.0
18/08/2023,14:30,Arroyo_Las Torres,15.2,0.52,17.5,8.1,640,310,66.0,5.35,40.0,161.0,152.0,SEMIDURA,49.0
18/08/2023,14:30,Arroyo_Las Torres,15.2,0.52,17.7,8.2,620,300,66.0,5.43,40.0,161.0,152.0,SEMIDURA,49.0
18/08/2023,14:35,Puente Irigoyen,15.2,0.52,17.8,8.1,740,360,70.0,3.84,50.0,124.0,135.0,BLANDA,59.0
18/08/2023,14:35,Puente Irigoyen,15.2,0.52,17.6,8.1,750,370,70.0,3.8,50.0,124.0,135.0,BLANDA,59.0
18/08/2023,14:55,Puente Falbo,15.2,0.52,18.3,8.0,990,490,48.0,1.92,55.0,87.2,146.0,BLANDA,77.0
18/08/2023,14:55,Puente Falbo,15.2,0.52,18.4,8.1,1000,490,48.0,1.89,55.0,87.2,146.0,BLANDA,77.0
24/08/2023,15:40,Arroyo_Las Torres,14.4,0.48,16.9,8.4,1440,710,64.0,5.11,30.0,23.6,140.0,BLANDA,97.0
24/08/2023,15:40,Arroyo_Las Torres,14.4,0.48,16.9,8.4,1400,690,64.0,4.62,30.0,14.1,140.0,BLANDA,97.0
24/08/2023,15:45,Puente Irigoyen,14.4,0.48,16.9,8.4,1200,590,70.0,1.73,65.0,88.9,111.0,BLANDA,85.0
24/08/2023,15:45,Puente Irigoyen,14.4,0.48,16.9,8.3,1180,580,70.0,1.33,65.0,89.2,111.0,BLANDA,85.0
24/08/2023,15:55,Arroyo Salguero,14.4,0.48,16.9,8.2,1120,550,24.0,3.34,20.0,2.95,211.0,SEMIDURA,64.0
24/08/2023,15:55,Arroyo Salguero,14.4,0.48,16.8,8.1,1140,560,24.0,2.82,20.0,3.63,211.0,SEMIDURA,64.0
24/08/2023,16:10,Puente Falbo,14.4,0.48,17.0,8.3,1340,660,50.0,1.39,55.0,56.5,135.0,BLANDA,104.0
24/08/2023,16:10,Puente Falbo,14.4,0.48,17.0,8.3,1350,660,50.0,1.05,55.0,118.0,135.0,BLANDA,104.0
05/09/2023,14:45,Puente Bilbao,12.8,0.57,15.2,8.6,940,460,60.0,5.64,55.0,177.0,117.0,BLANDA,69.0
05/09/2023,14:45,Puente Bilbao,12.8,0.57,15.3,8.4,930,460,60.0,3.28,55.0,128.0,117.0,BLANDA,69.0
05/09/2023,15:10,Puente Irigoyen,12.8,0.57,15.1,8.3,1070,530,46.0,2.9,65.0,117.0,176.0,SEMIDURA,81.0
05/09/2023,15:10,Puente Irigoyen,12.8,0.57,15.2,8.4,1080,530,46.0,3.18,65.0,113.0,176.0,SEMIDURA,81.0
05/09/2023,15:20,Arroyo Salguero,12.8,0.57,15.3,8.0,1110,550,18.0,4.18,25.0,5.04,316.0,SEMIDURA,66.0
05/09/2023,15:20,Arroyo Salguero,12.8,0.57,15.3,8.1,1080,550,18.0,4.23,25.0,5.69,316.0,SEMIDURA,66.0
05/09/2023,15:40,Puente Falbo,12.8,0.57,15.4,8.4,1050,520,44.0,1.96,70.0,113.0,146.0,BLANDA,82.0
05/09/2023,15:40,Puente Falbo,12.8,0.57,15.4,8.4,1070,530,44.0,1.67,70.0,133.0,146.0,BLANDA,82.0
14/09/2023,14:15,Puente Bilbao,15.0,0.51,20.6,8.4,1080,530,56.0,6.66,40.0,128.0,135.0,BLANDA,76.0
14/09/2023,14:15,Puente Bilbao,15.0,0.51,20.8,8.4,1050,520,56.0,5.57,40.0,87.2,135.0,BLANDA,76.0
14/09/2023,14:35,Arroyo_Las Torres,15.0,0.51,20.8,8.4,1460,720,60.0,4.54,35.0,21.7,269.0,SEMIDURA,135.0
14/09/2023,14:35,Arroyo_Las Torres,15.0,0.51,20.7,8.4,1440,710,60.0,3.98,35.0,31.4,269.0,SEMIDURA,135.0
14/09/2023,14:40,Puente Irigoyen,15.0,0.51,20.8,8.3,1280,630,54.0,3.1,65.0,98.9,187.0,SEMIDURA,104.0
14/09/2023,14:40,Puente Irigoyen,15.0,0.51,20.8,8.3,1350,660,54.0,2.7,65.0,106.0,187.0,SEMIDURA,104.0
14/09/2023,14:50,Arroyo Salguero,15.0,0.51,20.9,8.1,1060,520,42.0,4.02,30.0,22.6,304.0,SEMIDURA,59.0
14/09/2023,14:50,Arroyo Salguero,15.0,0.51,20.9,8.1,1130,550,42.0,5.08,30.0,12.4,304.0,SEMIDURA,59.0
29/09/2023,15:15,Puente Bilbao,19.2,0.47,19.9,8.0,1430,710,80.0,4.61,30.0,167.0,176.0,SEMIDURA,115.0
29/09/2023,15:15,Puente Bilbao,19.2,0.47,19.9,8.2,1460,720,80.0,3.17,30.0,168.0,176.0,SEMIDURA,115.0
29/09/2023,15:40,Puente Irigoyen,19.2,0.47,19.9,8.0,1510,750,66.0,1.86,35.0,99.7,228.0,SEMIDURA,117.0
29/09/2023,15:40,Puente Irigoyen,19.2,0.47,20.0,8.0,1540,760,66.0,1.49,35.0,100.0,228.0,SEMIDURA,117.0
29/09/2023,15:45,Arroyo Salguero,19.2,0.47,19.9,7.9,1110,550,10.0,3.81,10.0,6.05,304.0,SEMIDURA,62.0
29/09/2023,15:45,Arroyo Salguero,19.2,0.47,20.1,7.9,1110,550,10.0,3.0,10.0,3.2,304.0,SEMIDURA,62.0
29/09/2023,16:00,Puente Falbo,19.2,0.47,20.1,8.0,1550,770,44.0,1.3,50.0,52.1,228.0,SEMIDURA,128.0
29/09/2023,16:00,Puente Falbo,19.2,0.47,20.2,8.0,1540,760,44.0,4.05,50.0,44.6,228.0,SEMIDURA,128.0
03/10/2023,15:30,Puente Irigoyen,20.2,0.54,22.9,8.1,1530,750,38.0,0.53,45.0,54.5,228.0,SEMIDURA,117.0
03/10/2023,15:30,Puente Irigoyen,20.2,0.54,22.8,8.0,1540,760,38.0,0.53,45.0,27.4,228.0,SEMIDURA,117.0
